id_origem;cd_origem;id_categoria_economica;categoria_economica;nome
432;9;9;DEDUCOES DA RECEITA CORRENTE;DEDU
433;1;9;DEDUCOES DA RECEITA CORRENTE;DEDU
434;1;9;DEDUCOES DA RECEITA CORRENTE;DEDU
435;1;9;DEDUCOES DA RECEITA CORRENTE;DEDU
436;1;9;DEDUCOES DA RECEITA CORRENTE;DEDU
437;1;9;DEDUCOES DA RECEITA CORRENTE;DEDU
438;3;9;DEDUCOES DA RECEITA CORRENTE;DEDU
439;3;9;DEDUCOES DA RECEITA CORRENTE;DEDU
440;7;9;DEDUCOES DA RECEITA CORRENTE;DEDU
441;7;9;DEDUCOES DA RECEITA CORRENTE;DEDU
442;7;9;DEDUCOES DA RECEITA CORRENTE;DEDU
443;9;9;DEDUCOES DA RECEITA CORRENTE;DEDU
444;9;9;DEDUCOES DA RECEITA CORRENTE;DEDU
445;9;9;DEDUCOES DA RECEITA CORRENTE;DEDU
446;2;2;RECEITAS DE CAPITAL;ALIENA
447;9;7;RECEITA INTRAOR;RECEITA INTRAOR
448;3;9;DEDUCOES DA RECEITA CORRENTE;DEDU
449;7;9;DEDUCOES DA RECEITA CORRENTE;DEDU
450;7;9;DEDUCOES DA RECEITA CORRENTE;DEDU
451;7;9;DEDUCOES DA RECEITA CORRENTE;DEDU
452;9;9;DEDUCOES DA RECEITA CORRENTE;DEDU
528;1;9;DEDUCAO DAS RECEITAS;SEM DESCRICAO
