id_tempo,id_unidade_orc,id_origem,id_especie,id_desdobramento_1,id_desdobramento_2,id_desdobramento_3,id_tipo,id_item,id_subitem,id_fonte,cd_fonte,cd_classificacao_rec,ano_particao,vr_efetivado
2251,3890,11,131,96,105,396,370,4624,2580,25,60,1910041102000.0,2019,1058561.1
2252,3835,6,207,20,394,553,302,4195,554,25,60,1310011201002.0,2019,119.34
2252,3911,141,206,17,343,639,1005,3803,1976,25,60,1610011103000.0,2019,77.7
2252,3844,141,206,17,343,639,1005,4451,1266,25,60,1610011128000.0,2019,9847.47
2252,3868,141,206,17,343,639,1005,3214,1636,25,60,1610011130000.0,2019,58822.73
2252,3861,141,193,94,312,174,545,3041,287,25,60,1690991301000.0,2019,285231.29
2241,3732,11,168,154,165,607,946,4268,267,25,60,1922991199000.0,2018,5657.22
2241,3781,11,208,58,212,794,173,4584,2915,25,60,1990991199000.0,2018,5.05
2241,3814,11,208,58,212,794,173,4982,3050,25,60,1990991109001.0,2018,2405887.57
2241,3757,6,128,36,92,159,1242,3587,1712,65,61,1349011102000.0,2018,86432.46
2238,3814,120,76,64,111,205,1141,4361,1886,136,77,1122011108000.0,2018,8966042.72
2238,3814,120,76,64,111,205,1140,2670,943,136,77,1122011308000.0,2018,186025.71
2242,3773,11,168,154,165,607,946,4268,267,40,49,1922991199000.0,2018,320.0
2242,3781,120,76,2,266,506,790,2834,2270,72,53,1121011101005.0,2018,1687399.49
2242,3732,120,76,64,111,205,1141,3735,1530,25,60,1122011101010.0,2018,22807.56
2242,3773,137,22,14,26,431,322,2976,2428,25,60,1210991102003.0,2018,7367242.37
2242,3784,6,191,118,91,60,1440,4806,1705,25,60,1321001101000.0,2018,77193.23
2242,3760,6,191,118,91,60,1440,4806,1705,25,60,1321001101000.0,2018,2431994.7
2242,3820,141,206,17,343,639,1005,3804,2012,25,60,1610011111003.0,2018,5184361.38
2238,3773,112,132,23,176,521,419,4080,2650,40,49,7210991101005.0,2018,5116539.76
2238,3770,10,145,173,53,288,1489,4591,328,44,56,1718041101000.0,2018,430514.11
2238,3773,137,22,14,26,431,322,2976,2818,25,60,1210991102008.0,2018,17892.34
2236,3762,141,206,17,343,639,1005,4453,2731,25,60,1610011199001.0,2018,1543.2
2236,3814,141,206,17,343,639,71,4438,3064,25,60,1610011323002.0,2018,100675.11
2236,3710,141,159,167,98,172,1466,3638,2497,25,60,1640011101000.0,2018,16.95
2236,3717,11,131,96,371,708,1126,4337,2220,25,60,1910061101000.0,2018,3420597.3
2236,3707,11,168,154,165,607,946,4268,267,25,60,1922991199000.0,2018,72671.21
2236,3718,11,168,154,165,607,946,4268,267,25,60,1922991199000.0,2018,96095.14
2236,3773,15,2,21,374,811,586,3419,2965,25,60,2300061101000.0,2018,1103.82
2236,3743,7,8,140,291,430,435,3784,1951,65,61,1400001102001.0,2018,7542.900000000001
2236,3776,6,191,118,91,60,1440,4806,1705,96,70,1321001101000.0,2018,36916.32
2236,3814,120,76,2,266,506,7,3724,2615,136,77,1121011202000.0,2018,183294.78
2236,3757,120,76,2,377,308,10,4951,3005,132,91,1121041105000.0,2018,69893.4
2237,3719,141,193,94,312,174,346,3034,1046,25,60,1690991101000.0,2018,79634.99
2237,3757,11,131,96,371,708,1126,4337,2220,25,60,1910061101000.0,2018,859565.93
2237,3773,11,168,154,165,607,946,4268,267,25,60,1922991199000.0,2018,178304.31
2237,3809,11,208,58,212,794,173,4584,2915,25,60,1990991199000.0,2018,28898.3
2238,3781,114,211,107,383,122,971,4075,1189,4,23,9118012303000.0,2018,-1117277.4
2238,3781,133,150,159,116,520,418,4077,423,4,23,9118013203000.0,2018,-407768.22000000003
2238,3743,6,191,118,91,60,1440,4806,1705,93,24,1321001101000.0,2018,16266.67
2238,3719,6,191,118,91,60,1440,4806,1705,93,24,1321001101000.0,2018,3135.27
2238,3781,6,191,118,91,60,1440,4806,1705,93,24,1321001101000.0,2018,0.0
2238,3801,10,145,173,52,85,356,3668,1071,64,37,1718031103001.0,2018,8439005.94
2240,3782,6,191,118,91,60,1440,4806,1705,96,70,1321001101000.0,2018,2086.2400000000002
2240,3781,120,44,22,3,7,219,3750,34,50,71,1119011201000.0,2018,153974.37
2240,3814,120,76,64,111,205,593,3892,2423,136,77,1122011408000.0,2018,24698.07
2240,3814,11,131,96,60,496,942,4340,2963,136,77,1910081101000.0,2018,15901.66
2241,3750,6,191,118,91,60,1440,4806,1705,93,24,1321001101000.0,2018,30775.88
2241,3787,16,145,173,110,606,773,4351,2876,93,24,2418109120001.0,2018,30000.0
2246,3873,112,132,23,176,521,419,3469,1192,40,49,7210991103000.0,2019,241946.43
2246,3865,137,22,14,26,431,322,2976,1704,79,50,1210991102001.0,2019,19102894.85
2246,3937,120,76,2,266,506,598,3727,1880,72,53,1121011401005.0,2019,61889.93
2246,3923,120,76,2,266,506,790,3456,1175,25,60,1121011104000.0,2019,3416801.33
2246,3911,120,76,64,111,205,1141,3735,1529,25,60,1122011101007.0,2019,0.0
2237,3773,137,22,14,26,431,998,2885,2333,25,60,1210991499000.0,2018,255526.96
2237,3769,6,207,20,394,553,491,3256,2042,25,60,1310011101002.0,2018,0.0
2237,3787,6,207,20,394,346,1414,2949,557,25,60,1310012101000.0,2018,22460.47
2237,3707,6,191,118,91,60,1440,4806,1705,25,60,1321001101000.0,2018,1127977.79
2237,3808,6,181,13,25,744,1189,4411,79,25,60,1390001101000.0,2018,176731.91
2237,3809,8,11,15,28,31,1191,4707,1225,25,60,1500001101004.0,2018,65346.5
2237,3732,141,206,17,343,639,1005,4451,1266,25,60,1610011128000.0,2018,1950.8400000000001
2237,3776,141,206,17,343,639,1005,4739,1267,25,60,1610011129000.0,2018,302.0
2237,3815,141,206,17,343,639,1005,4453,2731,25,60,1610011199001.0,2018,150.91
2237,3820,141,206,17,218,90,764,3701,2568,25,60,1610021101000.0,2018,5386072.0
2239,3823,11,131,96,413,802,183,4901,694,78,82,1910011103001.0,2018,0.0
2240,3781,120,44,124,64,209,213,4372,2631,73,10,1118012301000.0,2018,5203977.96
2240,3781,11,168,63,419,306,202,2810,2235,73,10,1921991101999.0,2018,19704.08
2240,3781,10,145,173,147,284,170,2750,300,54,20,1718016101002.0,2018,14294208.6
2240,3801,11,168,154,165,607,946,4852,2863,5,22,1922991101000.0,2018,17023.85
2237,3792,6,191,118,91,60,1440,4806,1705,93,24,1321001101000.0,2018,22290.260000000002
2240,3725,10,121,78,182,21,638,3676,683,92,45,1770001199000.0,2018,220.0
2240,3781,14,21,152,57,191,934,3401,711,33,48,2213001101001.0,2018,111721.13
2240,3717,120,76,2,377,308,10,4044,395,85,52,1121041103000.0,2018,849307.86
2240,3781,120,76,2,266,506,790,2834,2270,72,53,1121011101005.0,2018,2318692.99
2240,3710,11,208,58,212,794,173,4584,2915,12,59,1990991199000.0,2018,407143.48
2240,3826,6,207,20,394,553,491,3256,2781,25,60,1310011101001.0,2018,279736.42
2240,3776,6,207,20,394,553,491,3256,2781,25,60,1310011101001.0,2018,1500.0
2242,3717,141,193,94,312,174,545,3041,287,25,60,1690991301000.0,2018,591820.65
2242,3827,11,168,154,165,607,946,4268,267,25,60,1922991199000.0,2018,374.0
2242,3823,81,199,127,331,216,1170,3143,47,4,23,9118013103000.0,2018,0.0
2242,3792,16,145,173,110,231,1187,4104,1009,93,24,2418101101001.0,2018,1700000.0
2246,3937,16,145,173,110,606,773,4351,3080,22,24,2418109120012.0,2019,0.0
2246,3937,10,145,173,316,484,754,3675,329,87,36,1718053101000.0,2019,0.0
2246,3899,11,168,154,165,607,946,4555,2490,87,36,1922991106000.0,2019,3716.9500000000003
2246,3899,11,168,154,165,607,946,4860,1769,87,36,1922991108000.0,2019,2149.91
2246,3861,137,22,14,186,537,808,4421,2677,91,43,1210042106000.0,2019,8724049.52
2246,3937,10,146,76,181,225,801,4404,61,92,45,1740001199000.0,2019,0.0
2246,3937,16,121,78,182,21,638,3486,1580,92,45,2470001101000.0,2019,0.0
2247,3882,11,168,154,307,460,720,3618,1747,25,60,1922061101999.0,2019,79635.77
2247,3884,11,208,58,212,794,173,4982,3050,25,60,1990991109001.0,2019,3152097.01
2247,3952,11,208,58,212,794,173,4584,2915,25,60,1990991199000.0,2019,14143.050000000001
2247,3872,6,128,36,92,159,1242,4809,208,65,61,1349011199000.0,2019,183805.14
2247,3916,141,206,17,343,639,1005,2635,2378,25,60,1610011124000.0,2019,114640.39
2247,3865,141,158,91,47,70,534,3313,253,25,60,1630011108002.0,2019,782583.22
2247,3927,141,193,94,312,174,346,3034,1046,25,60,1690991101000.0,2019,700.0
2247,3872,120,76,2,377,308,10,3732,12,63,26,1121041101000.0,2019,8505888.38
2247,3937,120,76,2,266,506,790,2834,2634,76,27,1121011101006.0,2019,677251.84
2247,3937,10,145,173,260,571,337,3054,1391,46,32,1718022101000.0,2019,18744301.35
2247,3861,137,22,14,186,238,655,3526,117,91,43,1210044105000.0,2019,13732.52
2247,3941,10,146,76,181,225,801,4404,61,92,45,1740001199000.0,2019,277484.73
2247,3926,14,21,152,57,191,934,3402,1109,74,47,2213001199000.0,2019,0.0
2247,3865,137,22,14,26,431,322,2976,214,79,50,1210991102006.0,2019,3097506.28
2235,3755,92,152,26,238,628,981,3161,437,73,10,7728019101000.0,2018,11264732.75
2235,3781,10,145,173,147,682,351,3044,1054,4,23,1718011101003.0,2018,78359885.83
2235,3723,10,139,9,148,285,741,3356,1445,4,23,1758011103001.0,2018,112074081.27
2236,3776,6,191,118,91,60,1440,4806,1705,93,24,1321001101000.0,2018,8466.67
2236,3715,137,22,14,186,238,655,3207,507,91,43,1210044106000.0,2018,258336.63
2237,3814,10,194,41,1,501,592,3641,2156,96,70,1738109102001.0,2018,74577.3
2237,3817,6,191,118,91,60,1440,4806,1705,69,73,1321001101000.0,2018,5201.3
2237,3820,10,146,153,221,503,594,4883,671,98,74,1748101103001.0,2018,294671.38
2237,3814,120,76,64,111,205,593,3892,2423,136,77,1122011408000.0,2018,32664.420000000002
2241,3814,6,191,118,91,60,1440,4806,1705,25,60,1321001101000.0,2018,4400681.72
2240,3710,15,2,21,220,812,1319,4636,2593,25,60,2300071199000.0,2018,487.5
2247,3884,11,131,96,60,496,942,4340,2963,136,77,1910081101000.0,2019,65892.57
2238,3760,6,191,118,91,60,1440,4806,1705,25,60,1321001101000.0,2018,2254522.65
2238,3787,141,206,17,343,639,1005,3803,1976,25,60,1610011103000.0,2018,-52.04
2239,3781,120,76,2,377,308,776,3437,13,8,72,1121041202000.0,2018,44911.770000000004
2239,3814,120,76,64,41,659,320,4983,3057,136,77,1122021201000.0,2018,9.61
2239,3814,11,168,63,419,306,202,2810,2235,136,77,1921991101999.0,2018,24374.4
2248,3937,120,44,124,64,209,400,3446,1163,73,10,1118012201000.0,2019,12913096.31
2239,3812,11,208,58,212,794,173,4584,2915,25,60,1990991199000.0,2018,62763.23
2242,3801,11,168,154,165,607,946,4852,2863,6,85,1922991101000.0,2018,57196.89
2242,3757,120,76,2,377,308,10,4951,3005,132,91,1121041105000.0,2018,191696.78
2246,3937,120,76,64,111,205,593,4494,2067,73,10,1122011401999.0,2019,734.57
2246,3937,10,145,173,147,682,351,3044,1053,73,10,1718011101001.0,2019,336356657.83
2246,3865,6,207,20,90,559,862,3874,2407,25,60,1310021101999.0,2019,148683.98
2246,3867,6,191,118,91,60,1440,4806,1705,25,60,1321001101000.0,2019,159822.4
2246,3873,6,191,119,303,664,514,3287,2823,25,60,1329001102000.0,2019,0.0
2246,3928,141,206,17,343,639,1005,4722,1977,25,60,1610011107000.0,2019,91441.85
2246,3868,141,206,17,343,639,1005,4453,2731,25,60,1610011199001.0,2019,0.0
2247,3859,120,44,124,64,5,1339,4054,404,4,23,1118013203000.0,2019,0.0
2247,3859,10,145,173,147,682,351,3044,1054,4,23,1718011101003.0,2019,0.0
2247,3861,86,196,106,273,517,415,3141,786,47,58,7990011101004.0,2019,25224099.31
2238,3718,141,158,91,47,70,534,3313,1403,25,60,1630011108001.0,2018,6495093.37
2238,3710,141,159,167,98,172,1466,3638,2497,25,60,1640011101000.0,2018,12.11
2238,3706,11,208,58,212,794,173,4584,2915,25,60,1990991199000.0,2018,106586.41
2239,3715,137,22,14,186,537,808,4701,1955,91,43,1210042107000.0,2018,1745364.58
2246,3947,11,131,96,418,497,1317,4943,3203,25,60,1910091102003.0,2019,314789.92
2238,3781,11,131,96,105,396,370,4625,1114,73,10,1910041104000.0,2018,1779.48
2238,3781,11,168,154,63,204,1325,4645,746,73,10,1922011101000.0,2018,129287.1
2238,3823,120,44,124,169,113,215,2830,1547,54,20,1118021102000.0,2018,0.0
2238,3781,120,44,124,64,5,609,4665,403,4,23,1118013103000.0,2018,14059156.35
2239,3781,120,44,124,64,5,1339,2533,2264,73,10,1118013201000.0,2018,1432702.62
2239,3781,11,168,154,307,460,720,3618,1747,73,10,1922061101999.0,2018,423.0
2239,3801,11,168,154,165,607,946,4852,2863,5,22,1922991101000.0,2018,15754.93
2239,3781,14,51,190,417,493,372,3087,366,33,48,2220001101000.0,2018,11017.89
2239,3773,137,22,14,26,431,322,2976,2076,79,50,1210991102002.0,2018,3432957.57
2239,3715,86,196,106,273,517,415,3141,1916,47,58,7990011101005.0,2018,405411.64
2239,3798,6,207,20,394,553,491,3256,2781,25,60,1310011101001.0,2018,1824.44
2240,3706,6,191,118,91,60,1440,4806,1705,25,60,1321001101000.0,2018,1035112.14
2240,3798,6,191,118,91,60,1440,4806,1705,25,60,1321001101000.0,2018,321011.51
2240,3748,6,190,141,304,569,331,2997,227,25,60,1331011101002.0,2018,327682.44
2240,3807,141,206,17,343,639,1005,2635,2378,25,60,1610011124000.0,2018,9689.0
2241,3729,141,193,94,312,174,346,3034,1046,25,60,1690991101000.0,2018,1080.68
2241,3723,16,145,173,143,165,1452,3920,238,87,36,2418051101003.0,2018,18346416.94
