id_tipo,cd_tipo,nome
148,0,RESTITUICAO DE PARCELAS DO SEGURO DESEMPREGO RECEBIDAS INDEVIDAMENTE
149,0,TRANSFERENCIAS DE CONVENIO DA UNIAO PARA O SISTEMA UNICO DE SAUDE - SUS
150,4,RESTITUICAO DECORRENTE DA NAO APLICACAO DE INCENTIVOS FISCAIS RELATIVOS A LEI DO AUDIOVISUAL - DIVIDA ATIVA - MULTAS E JUROS
151,0,RESTITUICAO DECORRENTE DA APLICACAO IRREGULAR DE RECURSOS ELEITORAIS
152,3,RESTITUICAO DECORRENTE DA APLICACAO IRREGULAR DE RECURSOS ELEITORAIS - DIVIDA ATIVA
153,0,RESSARCIMENTOS
154,1,SERVICOS DE ASSISTENCIA A SAUDE SUPLEMENTAR DO SERVIDOR CIVIL - PRINCIPAL
155,3,SERVICOS DE ASSISTENCIA A SAUDE SUPLEMENTAR DO SERVIDOR CIVIL - DIVIDA ATIVA
156,2,SERVICOS DE ASSISTENCIA MEDICO-HOSPITALAR DO MILITAR - MULTAS E JUROS
157,1,TRANSFERENCIAS DE CONVENIO DOS MUNICIPIOS PARA O SISTEMA UNICO DE SAUDE - SUS - PRINCIPAL
158,0,TRANSFERENCIAS DE CONVENIO DOS MUNICIPIOS DESTINADAS A PROGRAMAS DE EDUCACAO
159,2,RESSARCIMENTO AO REGIME GERAL DE PREVIDENCIA SOCIAL - RGPS - MULTAS E JUROS
160,2,ALIENACAO DE BENS E MERCADORIAS APREENDIDOS - MULTAS E JUROS
161,3,"CONCESSAO DE AVAIS, GARANTIAS E SEGUROS - DIVIDA ATIVA"
162,2,OUTROS SERVICOS - MULTAS E JUROS
163,3,PREMIOS PRESCRITOS DE CONCURSOS DE PROGNOSTICOS - DIVIDA ATIVA
164,0,APORTES PERIODICOS PARA AMORTIZACAO DE DEFICIT ATUARIAL DO RPPS
165,0,TRANSFERENCIAS DE CONVENIOS DOS ESTADOS DESTINADAS A PROGRAMAS DE EDUCACAO
166,1,TRANSFERENCIAS DE CONVENIOS DOS ESTADOS DESTINADAS A PROGRAMAS DE INFRAESTRUTURA EM TRANSPORTE - PRINCIPAL
167,0,COTA-PARTE DO FUNDO DE PARTICIPACAO DO MUNICIPIOS - 1% COTA ENTREGUE NO MES DE DEZEMBRO
168,0,COMPENSACOES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PROPRIOS DE PREVIDENCIA DOS SERVIDORES
169,2,COMPENSACOES FINANCEIRAS ENTRE O REGIME GERAL E OS REGIMES PROPRIOS DE PREVIDENCIA DOS SERVIDORES - MULTAS E JUROS
170,1,COTA-PARTE DO IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - ESTADOS EXPORTADORES DE PRODUTOS INDUSTRIALIZADOS - PRINCIPAL
171,1,RESERVA GLOBAL DE REVERSAO - PRINCIPAL
172,0,VARIACAO CAMBIAL
173,1,OUTRAS RECEITAS - PRIMARIAS - PRINCIPAL
174,0,OUTRAS TRANSFERENCIAS DECORRENTES DE COMPENSACAO FINANCEIRA PELA EXPLORACAO DE RECURSOS NATURAIS
175,1,OUTRAS TRANSFERENCIAS DECORRENTES DE COMPENSACAO FINANCEIRA PELA EXPLORACAO DE RECURSOS NATURAIS - PRINCIPAL
176,2,OUTRAS RECEITAS - PRIMARIAS - MULTAS E JUROS
177,0,OUTRAS RECEITAS - FINANCEIRAS
178,2,OUTRAS RECEITAS - FINANCEIRAS - MULTAS E JUROS
179,0,TITULOS DA DIVIDA AGRARIA - TDA
180,1,EMPRESTIMOS COMPULSORIOS - PRINCIPAL
181,0,TRANSFERENCIAS DE CONVENIOS DOS MUNICIPIOS DESTINADAS A PROGRAMAS DE EDUCACAO
182,0,OUTRAS TRANSFERENCIAS MULTIGOVERNAMENTAIS
183,1,MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA - PRINCIPAL
184,1,OPERACOES DE CREDITO EXTERNAS PARA PROGRAMAS DE SANEAMENTO - PRINCIPAL
185,0,"SERVICOS DE REGISTRO, CERTIFICACAO E FISCALIZACAO"
186,0,TRANSFERENCIAS DE CONVENIOS DA UNIAO DESTINADAS A PROGRAMAS DE COMBATE A FOME
187,3,MULTAS PREVISTAS NA LEI GERAL DAS TELECOMUNICACOES - DIVIDA ATIVA
188,1,ALIENACAO DE ESTOQUES COMERCIAIS DESTINADOS A PROGRAMAS SOCIAIS - PRINCIPAL
189,1,ALIENACAO DE ESTOQUES DO PROGRAMA DE AQUISICAO DE ALIMENTOS - PAA - PRINCIPAL
190,0,ALIENACAO DE BENS MOVEIS E SEMOVENTES
191,1,MULTAS PREVISTAS EM LEI POR INFRACOES NO SETOR DE ENERGIA ELETRICA - PRINCIPAL
192,0,AMORTIZACAO DE EMPRESTIMOS
193,0,AMORTIZACAO DE EMPRESTIMOS - ESTADOS E MUNICIPIOS
194,0,AMORTIZACAO DE EMPRESTIMOS - PROGRAMA DAS OPERACOES OFICIAIS DE CREDITO
195,0,MULTAS PREVISTAS NA LEGISLACAO SOBRE REGIME DE PREVIDENCIA PRIVADA COMPLEMENTAR
196,1,MULTA POR DESCUMPRIMENTO DE OBRIGACAO PREVIDENCIARIA ACESSORIA - PRINCIPAL
197,0,AMORTIZACAO DE FINANCIAMENTOS
198,1,AMORTIZACAO DE FINANCIAMENTO DO FUNDO DE FINANCIAMENTO AO ESTUDANTE DO ENSINO SUPERIOR - FIES - PRINCIPAL
199,0,COTA-PARTE DO IPVA
200,0,INDENIZACOES
201,0,OUTRAS INDENIZACOES
202,1,OUTRAS INDENIZACOES - PRINCIPAL
203,0,RESTITUICOES
204,4,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - OUTROS RENDIMENTOS - DIVIDA ATIVA - MULTAS E JUROS
205,0,IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - IPI
206,3,"TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO - DIVIDA ATIVA"
207,0,TAXA DE FISCALIZACAO DE INSTALACAO - TFI
208,4,IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - IPI- BEBIDAS - DIVIDA ATIVA - MULTAS E JUROS
209,3,IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - IPI - AUTOMOVEIS - DIVIDA ATIVA
210,4,IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - IPI - AUTOMOVEIS - DIVIDA ATIVA - MULTAS E JUROS
211,4,IMPOSTO SOBRE OPERACOES FINANCEIRAS - IOF - DEMAIS OPERACOES - DIVIDA ATIVA - MULTAS E JUROS
212,1,IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - PRINCIPAL
213,3,IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - DIVIDA ATIVA
214,4,"IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - DIVIDA ATIVA - MULTAS E JUROS"
215,1,IMPOSTO SOBRE OPERACOES RELATIVAS A CIRCULACAO DE MERCADORIAS E SOBRE PRESTACOES DE SERVICOS DE TRANSPORTE INTERESTADUAL E INTERMUNICIPAL E DE COMUNIC
216,2,IMPOSTO SOBRE OPERACOES RELATIVAS A CIRCULACAO DE MERCADORIAS E SOBRE PRESTACOES DE SERVICOS DE TRANSPORTE INTERESTADUAL E INTERMUNICIPAL E DE COMUNIC
217,3,IMPOSTO SOBRE OPERACOES RELATIVAS A CIRCULACAO DE MERCADORIAS E SOBRE PRESTACOES DE SERVICOS DE TRANSPORTE INTERESTADUAL E INTERMUNICIPAL E DE COMUNIC
218,2,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - MULTAS E JUROS
219,2,OUTROS IMPOSTOS - MULTAS E JUROS
220,2,IMPOSTO SOBRE A IMPORTACAO - MULTAS E JUROS
221,4,IMPOSTO SOBRE A IMPORTACAO - DIVIDA ATIVA - MULTAS E JUROS
222,3,IMPOSTO SOBRE A RENDA DE PESSOA FISICA - IRPF - DIVIDA ATIVA
223,0,IMPOSTO SOBRE A RENDA DE PESSOA JURIDICA - IRPJ - LIQUIDA DE INCENTIVOS
224,3,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - DIVIDA ATIVA
225,1,"RECEITA INTRAORCAMENTARIA - TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO - PRINCIPAL"
226,0,RECEITA INTRAORCAMENTARIA - CONTRIBUICOES SOCIAIS
227,0,RECEITA INTRAORCAMENTARIA - OUTRAS RECEITAS
228,0,SEM DESCRICAO
229,4,DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - DIVIDA ATIVA - MULTAS E JUROS - COTA PARTE DO ESTADO PARA O FUNDEB
230,4,"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - DIVIDA ATIVA - MULTAS E JUROS"
231,0,"DEDUCAO DAS RECEITAS - IMPOSTOS SOBRE A PRODUCAO, CIRCULACAO DE MERCADORIAS E SERVICOS"
232,0,DEDUCAO DAS RECEITAS - IMPOSTO SOBRE OPERACOES RELATIVAS A CIRCULACAO DE MERCADORIAS E SOBRE PRESTACOES DE SERVICOS DE TRANSPORTE INTERESTADUAL E INTE
233,1,RECEITA INTRAORCAMENTARIA - ALUGUEIS E ARRENDAMENTOS - PRINCIPAL
234,0,RECEITA INTRAORCAMENTARIA - SERVICOS DE ATENDIMENTO A SAUDE
235,0,"TRANSFERENCIAS DE OUTRAS INSTITUICOES PUBLICAS - ESPECIFICAS DE ESTADOS, DF E MUNICIPIOS"
236,0,TRANSFERENCIAS PROVENIENTES DE DEPOSITO NAO IDENTIFICADOS - ESPECIFICA E/DF/M
237,1,TRANSFERENCIAS PROVENIENTES DE DEPOSITO NAO IDENTIFICADOS - ESPECIFICA E/M - PRINCIPAL
238,0,INTEGRALIZACAO DE CAPITAL SOCIAL
239,0,REMUNERACAO DAS DISPONIBILIDADES DO TESOURO
240,0,DEDUCAO DAS RECEITAS - PARTICIPACAO NA RECEITA DA UNIAO
241,1,DEDUCAO DAS RECEITAS - COTA-PARTE DO FUNDO DE PARTICIPACAO DOS ESTADOS E DO DISTRITO FEDERAL - PRINCIPAL - FUNDEB
242,2,DELEGACAO PARA A PRESTACAO DOS SERVICOS DE TRANSPORTE METROVIARIO - MULTAS E JUROS
243,0,DELEGACAO PARA A PRESTACAO DOS SERVICOS DE TRANSPORTE AQUAVIARIO
244,1,DELEGACAO PARA A PRESTACAO DOS SERVICOS DE TRANSPORTE AQUAVIARIO - PRINCIPAL
245,3,CONTRIBUICAO DO SERVIDOR ATIVO CIVIL PARA O RPPS - DIVIDA ATIVA
