id_tempo;id_orgao;id_convenio;id_concedente;id_unidade_orc;id_situacao;ano_particao;vr_concedente_atual;vr_proponente_atual
37283;57;644;698;1993;2;2008;300000.00;0.00
37290;57;645;698;1993;2;2008;838000.00;98000.00
37800;57;990;1160;1993;2;2008;30000.00;0.00
37267;33;1032;112;3035;2;2008;60000.00;24000.00
37267;33;1067;112;3035;2;2008;60000.00;24000.00
37783;33;647;1151;3035;2;2008;387056.60;96764.15
37779;2;994;557;2398;2;2008;500000.00;0.00
37342;2;1010;403;2398;2;2008;250262.40;62565.60
37328;2;1018;403;2398;2;2008;12100000.00;6000000.00
38241;18;1065;412;2619;2;2008;23870.00;11480.00
36921;23;1036;694;3036;2;2008;1026825.00;274573.55
37757;23;995;557;3036;2;2008;1500000.00;300000.00
37792;23;996;330;3036;2;2008;3798525.33;1627939.43
37274;25;640;1159;2622;2;2008;975826.00;199240.00
37274;25;641;1159;2622;2;2008;463919.00;92784.00
37279;25;646;1159;2622;2;2008;21200.00;4300.00
37274;25;986;1159;2622;2;2008;335712.00;83928.00
37274;25;1073;1159;2622;2;2008;197568.00;49392.00
37274;25;984;1159;2622;2;2008;9600.00;2400.00
37274;25;998;1159;2622;2;2008;141151.20;35287.80
37274;25;1011;1159;2622;2;2008;100000.00;20000.00
37274;25;1027;1159;2622;2;2008;657237.00;131449.00
37274;25;1022;1159;2622;2;2008;126880.00;31720.00
37274;43;1048;1159;2829;2;2008;780000.00;156000.00
37778;43;979;987;2829;2;2008;353296.00;70660.00
37790;43;1008;987;2829;2;2008;1200000.00;240000.00
37787;43;978;331;2829;2;2008;120190.00;0.00
37359;13;639;985;2399;2;2008;2869466.27;0.00
37812;3;1038;1159;1767;2;2008;150000.00;37500.00
37274;3;1066;1159;1767;2;2008;456666.00;91334.00
37279;3;977;1159;1767;2;2008;49565032.67;9913006.89
37274;3;1006;1159;1767;2;2008;80000.00;16000.00
36920;17;1058;685;3343;2;2008;779380.80;194845.20
37329;6;1075;857;2616;2;2008;354919.00;0.00
